,,,American Indian Alaskan Native,American Indian Alaskan Native,Asian or Pacific Islander,Asian or Pacific Islander,Black or African American,Black or African American,White,White,Other,Other,Missing,Missing,Suppressed,Suppressed
Index,Week of,County,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths
339,1/10/2021,Graham,,,,,,,19,,3,,2,,2,
340,1/10/2021,Granville,1,,2,,53,,116,,26,,51,,,
341,1/10/2021,Greene,,,,,,,41,,14,,16,,16,
342,1/10/2021,Guilford,7,,86,,727,6,836,10,230,1,500,,,
343,1/10/2021,Halifax,,,,,141,1,,,48,,54,,134,2
344,1/10/2021,Harnett,1,,5,,127,3,266,3,61,,118,1,,
345,1/10/2021,Haywood,,,,,,,71,,9,,181,,2,
346,1/10/2021,Henderson,2,,5,,9,,330,,29,,76,,,1
347,1/10/2021,Hertford,,,,,18,,,,19,,29,,39,1
348,1/10/2021,Hoke,11,,,,51,2,48,1,58,,32,,,
349,1/10/2021,Hyde,,,,,,,25,,,,5,,15,
350,1/10/2021,Iredell,3,,8,,46,,467,5,67,,397,3,,
351,1/10/2021,Jackson,19,,,,4,,97,,8,,32,,,
352,1/10/2021,Johnston,2,,9,,96,1,436,4,192,,160,,,
353,1/10/2021,Jones,,,,,,,24,,6,,12,,5,
354,1/10/2021,Lee,,,1,,42,1,144,2,42,,90,1,,
355,1/10/2021,Lenoir,,,,,,,119,,17,,52,,48,1
356,1/10/2021,Lincoln,,,,,,,322,,99,,120,,20,2
357,1/10/2021,Macon,,,,,,,70,,1,,117,,1,
358,1/10/2021,Madison,,,,,,,76,,9,,10,,1,1
359,1/10/2021,Martin,,,,,,,40,,24,,13,,10,1
360,1/10/2021,McDowell,,,,,,,220,,4,,31,,6,1
361,1/10/2021,Mecklenburg,110,,173,,"1,226",6,"1,712",20,689,5,"1,232",,,
362,1/10/2021,Missing,,,,,,,,,,,,,1,
363,1/10/2021,Mitchell,,,,,,,28,,1,,20,,,
364,1/10/2021,Montgomery,,,,,,,128,5,32,,20,1,22,4
365,1/10/2021,Moore,2,,,,72,1,263,11,58,,107,,,
366,1/10/2021,Nash,5,,2,,123,,154,,30,,183,,,2
367,1/10/2021,New Hanover,2,,12,,88,,525,3,37,,130,,,
368,1/10/2021,Northampton,,,,,36,,,,20,,40,,31,
369,1/10/2021,Onslow,5,,14,,108,,555,3,83,1,131,,,
370,1/10/2021,Orange,,,10,,44,,193,,75,,36,,,2
371,1/10/2021,Pamlico,,,,,,,37,,2,,7,,5,1
372,1/10/2021,Pasquotank,,,,,,,54,,17,,49,,54,
373,1/10/2021,Pender,1,,1,,67,3,134,,23,,49,,,
374,1/10/2021,Perquimans,,,,,,,20,,8,,21,,4,
375,1/10/2021,Person,,,,,,,88,,6,,55,,68,2
376,1/10/2021,Pitt,6,,3,,143,,487,,123,,59,,,1
377,1/10/2021,Polk,,,,,,,58,,8,,38,,2,2
378,1/10/2021,Randolph,3,,3,,39,2,392,9,59,,173,,,
379,1/10/2021,Richmond,2,,1,,51,3,91,2,68,1,13,,,
380,1/10/2021,Robeson,233,3,1,,94,,125,,135,,115,,,
381,1/10/2021,Rockingham,,,3,,75,,236,,44,,71,,,2
382,1/10/2021,Rowan,8,,8,,102,,492,11,73,,212,,,
383,1/10/2021,Rutherford,,,,,,,217,,36,,142,,26,2
384,1/10/2021,Sampson,6,,,,55,,141,,33,,53,,,2
385,1/10/2021,Scotland,,,,,,,72,,11,,,,78,2
386,1/10/2021,Stanly,,,,,,,302,3,16,,,,58,
387,1/10/2021,Stokes,,,,,,,174,5,12,,62,,9,
388,1/10/2021,Surry,,,,,,,297,3,40,,103,2,9,
389,1/10/2021,Swain,,,,,,,56,,6,,20,,22,
390,1/10/2021,Transylvania,,,,,,,85,,30,,28,,9,1
391,1/10/2021,Tyrrell,,,,,,,7,,4,,1,,3,
