,,,American Indian Alaskan Native,American Indian Alaskan Native,Asian or Pacific Islander,Asian or Pacific Islander,Black or African American,Black or African American,White,White,Other,Other,Missing,Missing,Suppressed,Suppressed
Index,Week of,County,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths
"2,242",8/30/2020,Harnett,1,,,,29,2,60,1,23,,5,,,
"2,243",8/30/2020,Haywood,,,,,,,20,,1,,2,,,1
"2,244",8/30/2020,Henderson,,,,,1,,56,,1,,4,,,1
"2,245",8/30/2020,Hertford,,,,,29,2,,,2,,5,,18,1
"2,246",8/30/2020,Hoke,2,,,,18,2,3,,7,,10,1,,
"2,247",8/30/2020,Hyde,,,,,,,5,,1,,1,,3,
"2,248",8/30/2020,Iredell,1,,,,22,1,79,5,12,,17,,,
"2,249",8/30/2020,Jackson,1,,,,7,,20,,5,,7,,,
"2,250",8/30/2020,Johnston,1,,,,30,,96,,23,,20,,,2
"2,251",8/30/2020,Jones,,,,,,,4,,,,1,,1,
"2,252",8/30/2020,Lee,,,,,9,,23,,6,,7,,,
"2,253",8/30/2020,Lenoir,,,,,,,26,3,15,,2,,18,
"2,254",8/30/2020,Lincoln,,,,,,,43,,7,,53,,7,2
"2,255",8/30/2020,Macon,,,,,,,4,,,,4,,,
"2,256",8/30/2020,Madison,,,,,,,3,,1,,1,,,
"2,257",8/30/2020,Martin,,,,,,,24,,,,1,,9,2
"2,258",8/30/2020,McDowell,,,,,,,35,,2,,1,,,1
"2,259",8/30/2020,Mecklenburg,9,,86,2,194,5,323,5,97,2,151,1,,
"2,260",8/30/2020,Mitchell,,,,,,,4,,,,,,,
"2,261",8/30/2020,Montgomery,,,,,,,47,3,3,,2,,7,
"2,262",8/30/2020,Moore,2,,,,15,1,50,2,14,,25,,,
"2,263",8/30/2020,Nash,2,,,,41,1,73,2,6,1,14,,,
"2,264",8/30/2020,New Hanover,,,14,,16,,260,,25,,106,,,1
"2,265",8/30/2020,Northampton,,,,,6,,,,1,,2,,6,
"2,266",8/30/2020,Onslow,,,1,,17,,112,2,17,1,7,,,
"2,267",8/30/2020,Orange,,,3,,17,,61,,15,,9,,,1
"2,268",8/30/2020,Pamlico,,,,,,,11,,,,22,,12,
"2,269",8/30/2020,Pasquotank,,,,,,,11,,4,,1,,4,
"2,270",8/30/2020,Pender,,,,,2,,32,3,3,,,,,
"2,271",8/30/2020,Perquimans,,,,,,,6,,,,,,4,
"2,272",8/30/2020,Person,,,,,,,13,,5,,3,,4,
"2,273",8/30/2020,Pitt,5,,,,43,,225,,171,,82,,,1
"2,274",8/30/2020,Polk,,,,,,,6,,,,6,,2,
"2,275",8/30/2020,Randolph,,,11,1,2,1,72,3,7,,,,,
"2,276",8/30/2020,Richmond,1,,,,19,,34,,13,,3,,,2
"2,277",8/30/2020,Robeson,81,,3,,34,,87,,30,,20,,,2
"2,278",8/30/2020,Rockingham,,,,,29,,78,,7,,7,,,
"2,279",8/30/2020,Rowan,1,,,,16,,103,8,8,,5,,,
"2,280",8/30/2020,Rutherford,,,,,,,32,,1,,8,,4,2
"2,281",8/30/2020,Sampson,1,,,,18,,53,,10,,8,,,1
"2,282",8/30/2020,Scotland,,,,,,,28,1,13,,34,,44,2
"2,283",8/30/2020,Stanly,,,,,,,57,,1,,52,,7,2
"2,284",8/30/2020,Stokes,,,,,,,18,,,,9,,1,
"2,285",8/30/2020,Surry,,,,,,,44,,,,5,,2,
"2,286",8/30/2020,Swain,,,,,,,,,,,,,2,
"2,287",8/30/2020,Transylvania,,,,,,,22,,,,1,,3,1
"2,288",8/30/2020,Union,,,3,,19,,110,,46,,33,,,1
"2,289",8/30/2020,Vance,,,,,25,,,,4,,2,,9,1
"2,290",8/30/2020,Wake,1,,20,,92,,389,,94,,104,,,1
"2,291",8/30/2020,Warren,,,,,6,,,,1,,,,1,
"2,292",8/30/2020,Washington,,,,,7,,,,1,,,,3,
"2,293",8/30/2020,Watauga,,,,,,,55,,2,,13,,2,2
"2,294",8/30/2020,Wayne,,,1,,27,,40,,6,,38,,,2
"2,295",8/30/2020,Wilkes,,,,,,,31,3,1,,6,,1,
"2,296",8/30/2020,Wilson,,,1,,45,,74,,5,,1,,,2
"2,297",8/30/2020,Yadkin,,,,,,,14,,3,,1,,2,1
"2,298",8/30/2020,Yancey,,,,,,,17,,3,,1,,,
"2,299",8/23/2020,Alamance,1,,8,,84,,163,,24,,4,,,1
"2,300",8/23/2020,Alexander,,,,,,,23,,1,,3,,,1
"2,301",8/23/2020,Alleghany,,,,,,,4,,2,,1,,,
"2,302",8/23/2020,Anson,,,,,16,,,,2,,2,,17,
"2,303",8/23/2020,Ashe,,,,,,,17,,,,6,,,1
"2,304",8/23/2020,Avery,,,,,,,15,,1,,3,,2,
"2,305",8/23/2020,Beaufort,,,,,,,76,,5,,7,,7,1
"2,306",8/23/2020,Bertie,,,,,40,,,,3,,4,,26,
"2,307",8/23/2020,Bladen,,,,,,,21,,4,,,,26,2
"2,308",8/23/2020,Brunswick,1,,1,,7,,21,,2,,,,,1
"2,309",8/23/2020,Buncombe,,,1,,13,,92,1,12,,21,2,,
"2,310",8/23/2020,Burke,,,1,,1,,47,,11,,16,,,1
"2,311",8/23/2020,Cabarrus,2,,7,,28,,100,3,20,,23,,,
"2,312",8/23/2020,Caldwell,,,,,3,,48,,,,2,,,
"2,313",8/23/2020,Camden,,,,,,,6,,1,,,,,
"2,314",8/23/2020,Carteret,,,,,,,48,,4,,3,,,
"2,315",8/23/2020,Caswell,,,,,,,11,,4,,4,,5,
"2,316",8/23/2020,Catawba,,,4,1,9,1,75,3,4,,21,,,
"2,317",8/23/2020,Chatham,,,1,,6,,20,,17,,12,,,
"2,318",8/23/2020,Cherokee,,,,,,,30,,1,,34,,,2
"2,319",8/23/2020,Chowan,,,,,,,17,,4,,2,,8,1
"2,320",8/23/2020,Clay,,,,,,,2,,,,3,,,
"2,321",8/23/2020,Cleveland,,,,,,,88,4,6,,4,,16,1
"2,322",8/23/2020,Columbus,,,,,,,38,1,1,,4,,20,2
"2,323",8/23/2020,Craven,,,1,,34,,43,,2,,10,,,
"2,324",8/23/2020,Cumberland,3,,7,,119,1,106,3,35,,29,2,,
"2,325",8/23/2020,Currituck,,,,,,,22,,1,,1,,3,1
"2,326",8/23/2020,Dare,,,,,,,5,,1,,1,,1,
"2,327",8/23/2020,Davidson,,,9,,8,,85,,14,,26,,,
"2,328",8/23/2020,Davie,,,,,,,13,,4,,4,,,
"2,329",8/23/2020,Duplin,,,,,2,,35,,6,,3,,,2
"2,330",8/23/2020,Durham,,,6,,84,,73,,73,,42,,,2
"2,331",8/23/2020,Edgecombe,,,,,52,5,,,17,1,8,,66,8
"2,332",8/23/2020,Forsyth,,,2,,35,2,127,4,47,,41,,,
"2,333",8/23/2020,Franklin,1,,,,9,,29,,10,,20,,,
"2,334",8/23/2020,Gaston,1,,1,,36,,161,3,30,,34,,,
"2,335",8/23/2020,Gates,,,,,,,3,,2,,4,,4,
"2,336",8/23/2020,Graham,,,,,,,9,,,,2,,,
"2,337",8/23/2020,Granville,,,,,20,,46,,5,,15,,,1
"2,338",8/23/2020,Greene,,,,,,,27,,4,,3,,6,1
"2,339",8/23/2020,Guilford,1,,25,,100,3,164,2,44,,95,,,
"2,340",8/23/2020,Halifax,,,,,12,,,,5,,8,,13,
"2,341",8/23/2020,Harnett,,,1,,50,3,68,,16,1,13,,,
"2,342",8/23/2020,Haywood,,,,,,,14,,3,,3,,2,
"2,343",8/23/2020,Henderson,,,,,3,,26,,4,,6,,,
"2,344",8/23/2020,Hertford,,,,,51,7,,,5,,6,1,28,3
"2,345",8/23/2020,Hoke,3,,2,,13,,8,,3,,12,,,
"2,346",8/23/2020,Hyde,,,,,,,10,,,,1,,5,1
"2,347",8/23/2020,Iredell,,,,,47,,112,,9,,28,,,1
"2,348",8/23/2020,Jackson,1,,1,,5,,17,,6,,11,,,
"2,349",8/23/2020,Johnston,2,,2,,24,,146,,26,,29,,,2
"2,350",8/23/2020,Jones,,,,,,,5,,,,1,,2,
"2,351",8/23/2020,Lee,,,,,15,,24,,11,,9,,,1
"2,352",8/23/2020,Lenoir,,,,,,,42,2,12,1,9,,21,
"2,353",8/23/2020,Lincoln,,,,,,,40,,6,,28,,,
"2,354",8/23/2020,Macon,,,,,,,20,,,,2,,1,
"2,355",8/23/2020,Madison,,,,,,,11,,,,1,,,
"2,356",8/23/2020,Martin,,,,,,,19,,1,,1,,11,
"2,357",8/23/2020,McDowell,,,,,,,42,,1,,2,,,
"2,358",8/23/2020,Mecklenburg,11,,90,,243,4,435,11,147,3,186,1,,
"2,359",8/23/2020,Mitchell,,,,,,,4,,,,,,,
"2,360",8/23/2020,Montgomery,,,,,,,59,4,4,,2,,12,
"2,361",8/23/2020,Moore,1,,,,18,,46,3,13,,16,,,
"2,362",8/23/2020,Nash,1,,1,,70,3,99,5,8,,6,,,
"2,363",8/23/2020,New Hanover,1,,3,,26,2,158,2,11,,46,,,
"2,364",8/23/2020,Northampton,,,,,5,,,,,,1,,2,
"2,365",8/23/2020,Onslow,1,,1,,8,,103,4,27,,8,,,
"2,366",8/23/2020,Orange,2,,17,,11,,117,,23,,51,,,
"2,367",8/23/2020,Pamlico,,,,,,,9,,2,,57,,9,
"2,368",8/23/2020,Pasquotank,,,,,,,30,5,,,7,,26,2
"2,369",8/23/2020,Pender,,,,,5,,15,,4,,,,,
"2,370",8/23/2020,Perquimans,,,,,,,17,,1,,1,,7,
"2,371",8/23/2020,Person,,,,,,,17,,4,,7,,13,1
"2,372",8/23/2020,Pitt,8,,,,37,3,322,1,397,,89,,,
"2,373",8/23/2020,Polk,,,,,,,13,,1,,9,,,1
"2,374",8/23/2020,Randolph,,,9,,4,,84,,4,,,,,
"2,375",8/23/2020,Richmond,1,,,,23,,17,,8,,1,,,1
"2,376",8/23/2020,Robeson,96,1,4,,55,1,75,2,27,,25,,,
"2,377",8/23/2020,Rockingham,,,,,29,,74,,12,,33,,,2
"2,378",8/23/2020,Rowan,1,,,,26,2,125,1,14,1,13,,,
"2,379",8/23/2020,Rutherford,,,,,,,27,,,,6,,9,1
"2,380",8/23/2020,Sampson,2,,,,21,,49,,8,,5,,,1
"2,381",8/23/2020,Scotland,,,,,,,38,,7,,,,53,1
"2,382",8/23/2020,Stanly,,,,,,,90,3,2,,23,,10,
"2,383",8/23/2020,Stokes,,,,,,,11,,,,5,,,
"2,384",8/23/2020,Surry,,,,,,,42,,3,,7,,6,
"2,385",8/23/2020,Swain,,,,,,,6,,,,1,,,
"2,386",8/23/2020,Transylvania,,,,,,,31,,1,,,,1,2
"2,387",8/23/2020,Tyrrell,,,,,,,4,,1,,,,,
"2,388",8/23/2020,Union,6,,4,,42,1,108,2,48,,45,,,
"2,389",8/23/2020,Vance,,,,,31,,,,3,,,,14,
"2,390",8/23/2020,Wake,5,,22,,131,2,618,2,130,,235,,,
"2,391",8/23/2020,Warren,,,,,2,,,,1,,,,5,
"2,392",8/23/2020,Washington,,,,,4,,,,1,,2,,3,
"2,393",8/23/2020,Watauga,,,,,,,61,,4,,16,,,2
"2,394",8/23/2020,Wayne,,,,,40,4,62,1,7,,17,,,
"2,395",8/23/2020,Wilkes,,,,,,,46,,2,,6,,2,
"2,396",8/23/2020,Wilson,,,,,38,4,41,,1,,2,,,
"2,397",8/23/2020,Yadkin,,,,,,,22,,15,,2,,1,
"2,398",8/23/2020,Yancey,,,,,,,16,,1,,,,,
"2,399",8/16/2020,Alamance,,,5,,33,,174,,35,,5,,,1
"2,400",8/16/2020,Alexander,,,,,,,13,,2,,3,,,1
"2,401",8/16/2020,Alleghany,,,,,,,4,,7,,1,,,
"2,402",8/16/2020,Anson,,,,,15,,,,2,,1,,10,
"2,403",8/16/2020,Ashe,,,,,,,8,,,,3,,,
"2,404",8/16/2020,Avery,,,,,,,4,,,,4,,1,
"2,405",8/16/2020,Beaufort,,,,,,,40,,3,,7,,3,1
"2,406",8/16/2020,Bertie,,,,,22,,,,2,,2,,14,
"2,407",8/16/2020,Bladen,,,,,,,11,,1,,,,8,
"2,408",8/16/2020,Brunswick,,,,,9,,23,,1,,1,,,
"2,409",8/16/2020,Buncombe,,,4,,7,1,122,4,13,,22,1,,
"2,410",8/16/2020,Burke,,,,,2,,45,4,2,,35,,,
"2,411",8/16/2020,Cabarrus,2,,8,,35,2,109,1,34,,13,,,
"2,412",8/16/2020,Caldwell,,,,,5,,59,,,,1,,,
"2,413",8/16/2020,Camden,,,,,,,3,,,,1,,,
"2,414",8/16/2020,Carteret,,,,,,,48,,,,5,,3,
"2,415",8/16/2020,Caswell,,,,,,,11,,,,1,,6,2
"2,416",8/16/2020,Catawba,,,5,,9,,117,6,1,,28,,,
"2,417",8/16/2020,Chatham,2,,2,,4,,33,,20,,11,,,
"2,418",8/16/2020,Cherokee,,,,,,,26,,,,23,,1,1
"2,419",8/16/2020,Chowan,,,,,,,10,,3,,3,,7,
"2,420",8/16/2020,Clay,,,,,,,6,,,,3,,,
"2,421",8/16/2020,Cleveland,,,,,,,99,12,7,,5,,25,
"2,422",8/16/2020,Columbus,,,,,,,34,,5,,1,,11,
"2,423",8/16/2020,Craven,,,2,,23,1,36,3,3,,48,,,
"2,424",8/16/2020,Cumberland,9,,3,,103,5,119,,37,,49,3,,
"2,425",8/16/2020,Currituck,,,,,,,10,,,,,,,
"2,426",8/16/2020,Dare,,,,,,,6,,1,,,,,
"2,427",8/16/2020,Davidson,,,1,,8,,71,,15,,35,,,
"2,428",8/16/2020,Davie,,,,,,,17,,,,5,,1,
"2,429",8/16/2020,Duplin,,,,,2,,52,,3,,3,,,
"2,430",8/16/2020,Durham,,,9,,71,1,59,3,52,1,21,,,
"2,431",8/16/2020,Edgecombe,,,,,37,2,,,5,,2,,33,4
"2,432",8/16/2020,Forsyth,,,4,,54,8,150,3,38,,51,,,
"2,433",8/16/2020,Franklin,,,,,9,,23,,4,,16,,,
"2,434",8/16/2020,Gaston,1,,3,,26,,156,,24,,50,,,2
"2,435",8/16/2020,Gates,,,,,,,5,,5,,,,6,
"2,436",8/16/2020,Graham,,,,,,,3,,,,,,,
"2,437",8/16/2020,Granville,,,,,26,1,47,1,10,,5,1,,
"2,438",8/16/2020,Greene,,,,,,,18,,3,,,,2,
"2,439",8/16/2020,Guilford,,,35,,107,,174,,44,,77,,,2
"2,440",8/16/2020,Halifax,,,,,20,2,,,6,,3,,19,1
"2,441",8/16/2020,Harnett,,,,,10,,59,,10,,6,,,1
"2,442",8/16/2020,Haywood,,,,,,,15,,6,,5,,,
"2,443",8/16/2020,Henderson,,,2,,1,,51,,4,,13,,,
"2,444",8/16/2020,Hertford,,,,,37,,,,2,,14,,19,2
"2,445",8/16/2020,Hoke,7,,2,,16,,12,,6,,8,,,
"2,446",8/16/2020,Hyde,,,,,,,17,3,,,,,7,
"2,447",8/16/2020,Iredell,,,1,,26,1,122,1,3,,28,1,,
"2,448",8/16/2020,Jackson,,,2,,4,,21,,6,,5,,,
"2,449",8/16/2020,Johnston,,,1,,36,,118,,33,,21,,,
"2,450",8/16/2020,Jones,,,,,,,3,,1,,,,3,1
"2,451",8/16/2020,Lee,1,,1,,17,,16,,5,,14,,,
"2,452",8/16/2020,Lenoir,,,,,,,45,3,3,,4,,23,1
"2,453",8/16/2020,Lincoln,,,,,,,52,,7,,32,,,
"2,454",8/16/2020,Macon,,,,,,,26,2,2,,4,1,,
"2,455",8/16/2020,Madison,,,,,,,6,,,,2,,,
"2,456",8/16/2020,Martin,,,,,,,17,,1,,,,14,
"2,457",8/16/2020,McDowell,,,,,,,31,,,,2,,,
"2,458",8/16/2020,Mecklenburg,15,,69,,274,5,444,11,114,1,191,,,
"2,459",8/16/2020,Mitchell,,,,,,,12,,,,,,,
"2,460",8/16/2020,Montgomery,,,,,,,55,5,5,,2,,21,
"2,461",8/16/2020,Moore,4,,,,29,,76,5,5,,15,,,
"2,462",8/16/2020,Nash,,,,,57,2,65,1,7,,5,,,
"2,463",8/16/2020,New Hanover,,,15,,24,,84,,12,,15,,,1
"2,464",8/16/2020,Northampton,,,,,15,,,,,,,,3,
"2,465",8/16/2020,Onslow,3,,3,,25,,126,3,18,,6,,,
"2,466",8/16/2020,Orange,,,23,,19,,341,,35,,178,,,1
"2,467",8/16/2020,Pamlico,,,,,,,3,,6,,2,,11,
"2,468",8/16/2020,Pasquotank,,,,,,,25,,3,,5,,29,
"2,469",8/16/2020,Pender,,,,,5,,32,,2,,3,,,
"2,470",8/16/2020,Perquimans,,,,,,,12,,,,2,,8,1
"2,471",8/16/2020,Person,,,,,,,15,,7,,5,,12,2
"2,472",8/16/2020,Pitt,2,,2,,31,,213,,226,,63,,,2
"2,473",8/16/2020,Polk,,,,,,,16,,,,13,,2,1
"2,474",8/16/2020,Randolph,,,5,,5,,56,,8,,,,,
"2,475",8/16/2020,Richmond,1,,1,,20,1,31,2,5,,1,,,
"2,476",8/16/2020,Robeson,103,1,,,44,1,65,,33,,26,1,,
"2,477",8/16/2020,Rockingham,,,,,13,,47,,2,,21,,,1
"2,478",8/16/2020,Rowan,1,,2,,33,3,181,14,15,1,20,1,,
"2,479",8/16/2020,Rutherford,,,,,,,38,,2,,11,,9,1
"2,480",8/16/2020,Sampson,5,1,,,17,,50,2,9,,9,1,,
"2,481",8/16/2020,Scotland,,,,,,,58,,12,,,,53,1
"2,482",8/16/2020,Stanly,,,,,,,79,,1,,35,,9,
"2,483",8/16/2020,Stokes,,,,,,,10,,,,1,,,1
"2,484",8/16/2020,Surry,,,,,,,57,4,1,,3,,1,
"2,485",8/16/2020,Swain,,,,,,,2,,1,,,,,
"2,486",8/16/2020,Transylvania,,,,,,,43,,,,1,,4,2
"2,487",8/16/2020,Union,10,,5,1,33,,126,2,41,1,43,,,
"2,488",8/16/2020,Vance,,,,,30,,,,3,,1,,14,1
"2,489",8/16/2020,Wake,2,,29,,140,3,664,3,146,3,225,,,
"2,490",8/16/2020,Warren,,,,,6,,,,,,1,,2,
"2,491",8/16/2020,Washington,,,,,4,,,,,,1,,17,
"2,492",8/16/2020,Watauga,,,,,,,36,,3,,14,,,
"2,493",8/16/2020,Wayne,,,1,,52,2,53,4,20,1,10,,,
"2,494",8/16/2020,Wilkes,,,,,,,40,,3,,12,,,2
"2,495",8/16/2020,Wilson,,,1,,36,3,56,1,3,,1,,,
"2,496",8/16/2020,Yadkin,,,,,,,14,,6,,,,,
"2,497",8/16/2020,Yancey,,,,,,,9,,1,,,,,
"2,498",8/9/2020,Alamance,,,7,,32,,135,,26,,,,,1
"2,499",8/9/2020,Alexander,,,,,,,28,,1,,4,,2,2
"2,500",8/9/2020,Alleghany,,,,,,,6,,3,,1,,,
"2,501",8/9/2020,Anson,,,,,18,,,,2,,3,,15,
"2,502",8/9/2020,Ashe,,,,,,,5,,,,4,,,
"2,503",8/9/2020,Avery,,,,,,,12,,,,3,,2,
"2,504",8/9/2020,Beaufort,,,,,,,45,,4,,10,,13,
"2,505",8/9/2020,Bertie,,,,,16,,,,3,,7,,20,1
"2,506",8/9/2020,Bladen,,,,,,,14,,4,,2,,11,1
"2,507",8/9/2020,Brunswick,,,1,,19,1,51,2,2,,1,,,
"2,508",8/9/2020,Buncombe,,,1,,12,,170,7,15,1,41,1,,
"2,509",8/9/2020,Burke,,,1,,3,,40,,3,,25,,,1
"2,510",8/9/2020,Cabarrus,,,4,1,23,,100,2,27,,5,,,
"2,511",8/9/2020,Caldwell,,,,,7,,56,,4,,10,,,1
"2,512",8/9/2020,Camden,,,,,,,2,,1,,,,2,
"2,513",8/9/2020,Carteret,,,,,,,44,,1,,5,,1,
"2,514",8/9/2020,Caswell,,,,,,,4,,,,3,,3,
"2,515",8/9/2020,Catawba,,,10,,5,,117,3,3,,28,,,
"2,516",8/9/2020,Chatham,1,,1,,6,,25,,15,,18,,,1
"2,517",8/9/2020,Cherokee,,,,,,,23,,1,,18,,,1
"2,518",8/9/2020,Chowan,,,,,,,3,,,,,,5,
"2,519",8/9/2020,Clay,,,,,,,4,,,,,,,
"2,520",8/9/2020,Cleveland,,,,,,,90,5,15,,8,,26,2
"2,521",8/9/2020,Columbus,,,,,,,52,2,6,1,1,,14,
"2,522",8/9/2020,Craven,,,,,32,2,36,1,3,,58,,,
"2,523",8/9/2020,Cumberland,5,,4,,121,4,100,1,41,,52,1,,
"2,524",8/9/2020,Currituck,,,,,,,8,,,,,,1,
"2,525",8/9/2020,Dare,,,,,,,3,,2,,,,3,
"2,526",8/9/2020,Davidson,2,,,,10,,60,,15,,23,,,1
"2,527",8/9/2020,Davie,,,,,,,11,,2,,3,,,
"2,528",8/9/2020,Duplin,,,,,13,,34,,2,,,,,1
"2,529",8/9/2020,Durham,2,,13,,108,,49,,66,,18,,,1
"2,530",8/9/2020,Edgecombe,,,,,60,4,,,11,,3,,66,3
"2,531",8/9/2020,Forsyth,,,2,,74,1,114,4,58,,31,,,
"2,532",8/9/2020,Franklin,,,,,18,,22,,7,,12,,,
"2,533",8/9/2020,Gaston,1,,1,,28,1,147,2,18,,35,,,
"2,534",8/9/2020,Gates,,,,,,,4,,1,,,,17,1
"2,535",8/9/2020,Graham,,,,,,,2,,,,1,,,
"2,536",8/9/2020,Granville,,,,,43,6,44,4,10,,11,,,
"2,537",8/9/2020,Greene,,,,,,,10,,7,,1,,8,
"2,538",8/9/2020,Guilford,1,,30,,96,,117,,47,,59,,,2
"2,539",8/9/2020,Halifax,,,,,24,,,,1,,2,,10,1
"2,540",8/9/2020,Harnett,4,,3,,24,,70,,13,,8,,,2
"2,541",8/9/2020,Haywood,,,,,,,26,,2,,1,,,2
"2,542",8/9/2020,Henderson,,,,,3,,77,,2,,20,,,1
"2,543",8/9/2020,Hertford,,,,,37,,,,2,,5,,11,
"2,544",8/9/2020,Hoke,6,,,,14,,16,,6,,10,,,1
"2,545",8/9/2020,Hyde,,,,,,,8,,3,,1,,3,1
"2,546",8/9/2020,Iredell,,,2,,24,2,114,2,5,,32,,,
"2,547",8/9/2020,Jackson,,,,,1,,4,,1,,3,,,
"2,548",8/9/2020,Johnston,,,1,,21,,76,4,20,,26,,,
"2,549",8/9/2020,Jones,,,,,,,13,,1,,4,,3,2
"2,550",8/9/2020,Lee,,,,,4,,12,,14,,10,,,
"2,551",8/9/2020,Lenoir,,,,,,,41,3,5,,5,,28,3
"2,552",8/9/2020,Lincoln,,,,,,,50,,6,,21,,4,
"2,553",8/9/2020,Macon,,,,,,,12,,,,5,,1,
"2,554",8/9/2020,Madison,,,,,,,4,,,,,,,
"2,555",8/9/2020,Martin,,,,,,,11,,,,,,10,
"2,556",8/9/2020,McDowell,,,,,,,43,3,1,,2,,,
"2,557",8/9/2020,Mecklenburg,16,,46,,266,4,312,8,112,2,173,,,
"2,558",8/9/2020,Mitchell,,,,,,,5,,,,1,,,
"2,559",8/9/2020,Montgomery,,,,,,,45,5,3,,,,12,
"2,560",8/9/2020,Moore,,,,,7,,52,,8,,15,,,1
"2,561",8/9/2020,Nash,1,,2,,56,2,86,3,10,,3,,,
"2,562",8/9/2020,New Hanover,,,,,26,,69,,17,,11,,,1
"2,563",8/9/2020,Northampton,,,,,5,,,,3,,2,,4,
"2,564",8/9/2020,Onslow,,,,,21,,78,,14,,9,,,1
"2,565",8/9/2020,Orange,1,,6,,4,,122,,29,,42,,,1
"2,566",8/9/2020,Pamlico,,,,,,,6,,,,,,2,
"2,567",8/9/2020,Pasquotank,,,,,,,21,,,,10,,19,1
"2,568",8/9/2020,Pender,,,,,1,,21,,3,,,,,
"2,569",8/9/2020,Perquimans,,,,,,,3,,,,1,,2,
"2,570",8/9/2020,Person,,,,,,,16,2,5,,6,,4,1
"2,571",8/9/2020,Pitt,2,,,,45,1,153,2,50,,20,,,
"2,572",8/9/2020,Polk,,,,,,,20,1,,,11,2,,
"2,573",8/9/2020,Randolph,,,7,,4,,92,4,2,,,,,
"2,574",8/9/2020,Richmond,,,,,28,,21,,3,,2,,,
"2,575",8/9/2020,Robeson,86,3,1,,31,,42,1,35,,14,,,
"2,576",8/9/2020,Rockingham,1,,,,13,1,53,3,1,,9,,,
"2,577",8/9/2020,Rowan,1,,,,22,,93,3,20,,7,1,,
"2,578",8/9/2020,Rutherford,,,,,,,64,3,3,,9,,12,1
"2,579",8/9/2020,Sampson,1,,,,12,,51,,7,,16,,,
"2,580",8/9/2020,Scotland,,,,,,,45,,,,,,35,2
"2,581",8/9/2020,Stanly,,,,,,,74,8,2,,44,,22,3
"2,582",8/9/2020,Stokes,,,,,,,15,,,,2,,,
"2,583",8/9/2020,Surry,,,,,,,67,8,1,,9,,2,1
"2,584",8/9/2020,Swain,,,,,,,3,,,,,,1,1
"2,585",8/9/2020,Transylvania,,,,,,,35,,,,,,1,2
"2,586",8/9/2020,Tyrrell,,,,,,,,,1,,1,,5,
"2,587",8/9/2020,Union,5,,2,,31,,149,3,35,,54,,,
"2,588",8/9/2020,Vance,,,,,15,,,,4,,2,,13,1
"2,589",8/9/2020,Wake,1,,18,,147,5,301,3,118,,135,2,,
"2,590",8/9/2020,Warren,,,,,5,,,,,,,,8,
"2,591",8/9/2020,Washington,,,,,6,,,,,,1,,10,2
"2,592",8/9/2020,Watauga,,,,,,,55,,3,,9,,2,
"2,593",8/9/2020,Wayne,,,1,,39,3,69,3,21,,16,,,
"2,594",8/9/2020,Wilkes,,,,,,,52,2,2,,6,1,1,1
"2,595",8/9/2020,Wilson,,,,,21,,51,,4,,,,,1
"2,596",8/9/2020,Yadkin,,,,,,,14,,16,,2,,,
"2,597",8/9/2020,Yancey,,,,,,,16,,,,1,,,
"2,598",8/2/2020,Alamance,,,7,,25,2,161,1,25,,2,,,
"2,599",8/2/2020,Alexander,,,,,,,30,,,,6,,,1
"2,600",8/2/2020,Alleghany,,,,,,,3,,4,,2,,,
"2,601",8/2/2020,Anson,,,,,19,,,,,,5,,9,
"2,602",8/2/2020,Ashe,,,,,,,26,,2,,12,,2,
"2,603",8/2/2020,Avery,,,,,,,6,,1,,9,,,
"2,604",8/2/2020,Beaufort,,,,,,,34,,13,,10,,7,2
"2,605",8/2/2020,Bertie,,,,,14,,,,1,,6,,8,2
"2,606",8/2/2020,Bladen,,,,,,,12,,,,,,11,1
"2,607",8/2/2020,Brunswick,,,,,6,,59,,1,,2,,,
"2,608",8/2/2020,Buncombe,1,,2,,11,,195,7,8,,25,,,
"2,609",8/2/2020,Burke,,,8,,,,53,,3,,34,,,1
"2,610",8/2/2020,Cabarrus,2,,6,,34,,125,,45,,10,,,
"2,611",8/2/2020,Caldwell,,,1,,5,,75,,,,6,,,1
"2,612",8/2/2020,Camden,,,,,,,10,,,,,,4,
"2,613",8/2/2020,Carteret,,,,,,,41,,1,,4,,8,
"2,614",8/2/2020,Caswell,,,,,,,2,,4,,2,,3,
"2,615",8/2/2020,Catawba,,,5,,9,,135,,2,,43,,,2
"2,616",8/2/2020,Chatham,,,,,2,,19,,14,,15,,,
"2,617",8/2/2020,Cherokee,,,,,,,19,,,,11,,,1
"2,618",8/2/2020,Chowan,,,,,,,7,,,,1,,7,
"2,619",8/2/2020,Clay,,,,,,,7,,,,2,,,
"2,620",8/2/2020,Cleveland,,,,,,,89,2,9,,7,1,31,1
"2,621",8/2/2020,Columbus,,,,,,,44,,11,,2,,18,1
"2,622",8/2/2020,Craven,,,2,,23,1,49,1,1,1,5,,,
"2,623",8/2/2020,Cumberland,6,,4,,133,5,110,1,32,,42,1,,
"2,624",8/2/2020,Currituck,,,,,,,7,,,,,,,
"2,625",8/2/2020,Dare,,,,,,,5,,1,,2,,,
"2,626",8/2/2020,Davidson,,,4,,19,,61,3,12,,30,,,
"2,627",8/2/2020,Davie,,,,,,,29,,5,,9,,,
